kommunenummer,navn,år,befolkning,latitude,longitude,fylke_navn_2019,fylke_navn_2020
0436,Tolga,2019,1551,62.356955487603535,11.080774701438418,HEDMARK,INNLANDET
0437,Tynset,2019,5591,62.400771438320255,10.539452722958274,HEDMARK,INNLANDET
0438,Alvdal,2019,2418,62.06765486763449,10.50704817923062,HEDMARK,INNLANDET
0439,Folldal,2019,1577,62.17480154830705,10.019455886275608,HEDMARK,INNLANDET
0441,Os,2019,1912,62.4461974250483,11.307770825271819,HEDMARK,INNLANDET
0501,Lillehammer,2019,28023,61.12781704950787,10.392227710311547,OPPLAND,VIKEN
0501,Lillehammer,2019,28023,61.12781704950787,10.392227710311547,OPPLAND,INNLANDET
0502,Gjøvik,2019,30676,60.887422641466365,10.470349016295835,OPPLAND,VIKEN
0502,Gjøvik,2019,30676,60.887422641466365,10.470349016295835,OPPLAND,INNLANDET
0511,Dovre,2019,2615,62.07888667022959,9.458838864372492,OPPLAND,VIKEN
0511,Dovre,2019,2615,62.07888667022959,9.458838864372492,OPPLAND,INNLANDET
0512,Lesja,2019,2009,62.19143069274617,8.63571418155505,OPPLAND,VIKEN
0512,Lesja,2019,2009,62.19143069274617,8.63571418155505,OPPLAND,INNLANDET
0513,Skjåk,2019,2204,61.933585808371866,7.8867244152809235,OPPLAND,VIKEN
0513,Skjåk,2019,2204,61.933585808371866,7.8867244152809235,OPPLAND,INNLANDET
0514,Lom,2019,2293,61.7144340896145,8.480583095456446,OPPLAND,VIKEN
0514,Lom,2019,2293,61.7144340896145,8.480583095456446,OPPLAND,INNLANDET
0515,Vågå,2019,3589,61.67358442344637,8.952900652231483,OPPLAND,VIKEN
0515,Vågå,2019,3589,61.67358442344637,8.952900652231483,OPPLAND,INNLANDET
0516,Nord-Fron,2019,5742,61.58297060375787,9.522173776509812,OPPLAND,VIKEN
0516,Nord-Fron,2019,5742,61.58297060375787,9.522173776509812,OPPLAND,INNLANDET
0517,Sel,2019,5789,61.77406952558923,9.475634552598406,OPPLAND,VIKEN
0517,Sel,2019,5789,61.77406952558923,9.475634552598406,OPPLAND,INNLANDET
0519,Sør-Fron,2019,3127,61.53805376139744,9.78938378405225,OPPLAND,VIKEN
0519,Sør-Fron,2019,3127,61.53805376139744,9.78938378405225,OPPLAND,INNLANDET
0520,Ringebu,2019,4425,61.55768480584197,10.319392862147645,OPPLAND,VIKEN
0520,Ringebu,2019,4425,61.55768480584197,10.319392862147645,OPPLAND,INNLANDET
0521,Øyer,2019,5119,61.31988921552225,10.536491082151445,OPPLAND,VIKEN
0521,Øyer,2019,5119,61.31988921552225,10.536491082151445,OPPLAND,INNLANDET
0522,Gausdal,2019,6112,61.27148144062036,9.860693830949248,OPPLAND,VIKEN
0522,Gausdal,2019,6112,61.27148144062036,9.860693830949248,OPPLAND,INNLANDET
0528,Østre Toten,2019,14948,60.608278428001974,10.889791405128003,OPPLAND,VIKEN
0528,Østre Toten,2019,14948,60.608278428001974,10.889791405128003,OPPLAND,INNLANDET
0529,Vestre Toten,2019,13384,60.645833655385275,10.623900768272877,OPPLAND,VIKEN
0529,Vestre Toten,2019,13384,60.645833655385275,10.623900768272877,OPPLAND,INNLANDET
0532,Jevnaker,2019,6846,60.280092908102816,10.392914705648378,OPPLAND,VIKEN
0532,Jevnaker,2019,6846,60.280092908102816,10.392914705648378,OPPLAND,INNLANDET
0533,Lunner,2019,9051,60.24450626844924,10.663840034259799,OPPLAND,VIKEN
0533,Lunner,2019,9051,60.24450626844924,10.663840034259799,OPPLAND,INNLANDET
0534,Gran,2019,13642,60.4295849777501,10.51453044006971,OPPLAND,VIKEN
